cislo;id_vyr;kusy
INT;INT;TINYINT
FK NN;FK NN;NN def 1
10000;30;1
10000;51;1
10000;50;1
10001;60;5
10001;200;3
10002;94;1
10002;61;1
10002;67;1
10003;61;2
10003;105;1
10004;30;1
10004;50;1
10004;67;2
10004;60;1
10005;32;1
10005;205;1
10006;50;1
10007;59;1
10007;203;1
10008;98;2
10008;59;1
10009;90;1
10010;41;1
10010;92;1
10010;208;2
10011;66;4
10012;51;1
10012;207;1
10013;58;3
10014;113;1
10015;41;1
10015;67;2
10016;58;1
10016;51;1
10016;65;1
10017;57;4
10017;201;2
10017;206;1
10018;30;1
10018;99;1
10019;60;2
10019;69;1
10019;38;1
10020;115;3
10021;62;1
10021;98;1
10022;31;1
10023;68;3
10023;208;2
10024;56;1
10024;60;2
10024;64;1
10025;118;1
10025;38;2
10026;112;1
10026;63;1
10027;51;1
10027;202;1
10028;60;4
10029;70;1
10029;31;1
10029;78;1
10030;53;1
10031;60;2
10031;206;2
10032;54;4
10033;117;1
10034;40;2
10034;109;1
10035;55;1
10035;12;2
10035;21;4
10035;16;3
10036;11;1
10036;31;2
10037;21;5
10038;146;2
10038;61;1
10038;201;3
10039;112;2
10040;139;1
10040;149;2
10040;148;2
10041;144;1
10041;13;2
10042;23;4
10042;15;1
10043;16;3
10044;75;1
10044;146;2
10044;142;1
10044;18;1
10045;13;2
10045;33;1
10045;39;1
10046;140;4
10047;120;1
10047;138;2
10047;116;1
10048;112;1
10048;97;3
10049;91;4
